population_size: 50
selection_size: 50
mutation_rate: 0.01
crossover_rate: 0.3
crossover_points: 3
generations: 50
battle_participants: 2
elite_num: 2

generation,accuracy
0,0.5264000296592712
1,0.5342000126838684
2,0.542900025844574
3,0.542900025844574
4,0.542900025844574
5,0.5655999779701233
6,0.5655999779701233
7,0.5655999779701233
8,0.5672000050544739
9,0.5672000050544739
10,0.5672000050544739
11,0.5821999907493591
12,0.5821999907493591
13,0.5821999907493591
14,0.5821999907493591
15,0.5821999907493591
16,0.5821999907493591
17,0.5821999907493591
18,0.5821999907493591
